codigo_estacion,nombre_estacion,latitud,altura_msnm,anio,mes,dia,temp_min,temp_max
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,25,6.4,18.0
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,26,6.3,20.1
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,27,7.0,23.1
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,28,9.9,18.8
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,29,8.1,20.6
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,30,6.4,18.8
330007,"Rodelillo, Ad.",33&deg 3' 55'' S,330,2023,8,31,7.5,20.6
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,1,6.8,24.2
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,2,8.0,24.2
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,3,7.4,25.4
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,4,8.1,26.5
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,5,5.4,10.9
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,6,6.2,17.6
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,7,5.0,18.1
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,8,7.0,21.0
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,9,9.9,19.0
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,10,6.3,16.6
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,11,8.5,17.4
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,12,5.8,23.0
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,13,7.2,26.4
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,14,8.3,27.0
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,15,8.8,15.2
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,16,9.8,14.3
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,17,10.0,15.3
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,18,7.6,15.3
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,19,8.4,12.0
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,20,9.7,14.7
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,21,9.5,17.4
330019,"Eulogio Sánchez, Tobalaba Ad.",33&deg 27' 19'' S,650,2023,8,22,10.7,16.3
